Account Number,Name,Email,Balance (₹),PIN
74852,Aditi Sharma,balakavi64@gmail.com,40000,1234
25271,Raj Patel,balakavi64@gmail.com,26078,2501
88429,Kiran Gupta,balakavi64@gmail.com,49978,5366
69134,Neha Verma,balakavi64@gmail.com,29595,2764
21195,Ravi Kumar,mohamedfasith4210@gmail.com,67678,6195
67194,Pooja Joshi,balakavi64@gmail.com,48139,7645
20344,Aman Singh,balakavi64@gmail.com,201575,1000
24974,Deepa Reddy,balakavi64@gmail.com,43113,2752
93080,Arjun Das,balakavi64@gmail.com,37080,4866
87229,Meera Iyer,balakavi64@gmail.com,9924840,1000
